date,code,high,low,close,code_name
2021-03-29,sh.600036,51.8,50.55,50.94,招商银行
2021-03-29,sh.600389,21.85,21.85,21.85,江山股份
2021-03-29,sh.600519,2096.35,2026.15,2034.1,贵州茅台
2021-03-29,sh.601012,81.47,78.9,80.2,隆基绿能
2021-03-29,sh.688598,174.66,167.13,168.5,金博股份
2021-03-29,sz.002594,170.48,164.8,168.1,比亚迪
2021-03-29,sz.300316,32.85,31.0,32.34,晶盛机电
2021-03-30,sh.600036,51.56,50.43,51.56,招商银行
2021-03-30,sh.600389,21.85,21.85,21.85,江山股份
2021-03-30,sh.600519,2086.0,2035.08,2056.05,贵州茅台
2021-03-30,sh.601012,88.09,79.6,87.62,隆基绿能
2021-03-30,sh.688598,178.38,167.33,176.9,金博股份
2021-03-30,sz.002594,169.0,159.1,169.0,比亚迪
2021-03-30,sz.300316,33.88,32.03,33.59,晶盛机电
2021-03-31,sh.600036,51.5,50.14,51.1,招商银行
2021-03-31,sh.600389,21.85,21.85,21.85,江山股份
2021-03-31,sh.600519,2046.02,2000.0,2009.0,贵州茅台
2021-03-31,sh.601012,90.67,86.33,88.0,隆基绿能
2021-03-31,sh.688598,173.88,162.82,168.9,金博股份
2021-03-31,sz.002594,172.64,162.56,164.51,比亚迪
2021-03-31,sz.300316,33.68,32.63,32.94,晶盛机电
2021-04-01,sh.600036,51.28,50.7,51.05,招商银行
2021-04-01,sh.600389,21.85,21.85,21.85,江山股份
2021-04-01,sh.600519,2046.8,2001.22,2044.5,贵州茅台
2021-04-01,sh.601012,92.75,87.68,89.62,隆基绿能
2021-04-01,sh.688598,175.99,169.1,172.5,金博股份
2021-04-01,sz.002594,171.9,167.01,169.07,比亚迪
2021-04-01,sz.300316,34.18,32.88,33.57,晶盛机电
2021-04-02,sh.600036,51.25,50.65,50.95,招商银行
2021-04-02,sh.600389,21.85,21.85,21.85,江山股份
2021-04-02,sh.600519,2165.0,2056.0,2162.0,贵州茅台
2021-04-02,sh.601012,90.31,86.68,88.89,隆基绿能
2021-04-02,sh.688598,181.65,169.23,179.3,金博股份
2021-04-02,sz.002594,178.2,168.58,175.87,比亚迪
2021-04-02,sz.300316,35.25,33.31,34.85,晶盛机电
2021-04-06,sh.600036,51.83,50.8,50.99,招商银行
2021-04-06,sh.600389,21.85,21.85,21.85,江山股份
2021-04-06,sh.600519,2161.98,2102.3,2126.03,贵州茅台
2021-04-06,sh.601012,94.63,90.19,93.19,隆基绿能
2021-04-06,sh.688598,183.45,176.5,182.09,金博股份
2021-04-06,sz.002594,179.24,172.8,176.09,比亚迪
2021-04-06,sz.300316,35.44,33.86,34.51,晶盛机电
2021-04-07,sh.600036,51.15,50.02,50.43,招商银行
2021-04-07,sh.600389,21.85,21.85,21.85,江山股份
2021-04-07,sh.600519,2117.3,2050.0,2061.0,贵州茅台
2021-04-07,sh.601012,93.24,88.66,89.12,隆基绿能
2021-04-07,sh.688598,182.01,172.4,175.09,金博股份
2021-04-07,sz.002594,178.08,169.5,170.99,比亚迪
2021-04-07,sz.300316,35.2,33.04,33.78,晶盛机电
2021-04-08,sh.600036,50.63,50.05,50.5,招商银行
2021-04-08,sh.600389,21.85,21.85,21.85,江山股份
2021-04-08,sh.600519,2079.0,2044.0,2070.0,贵州茅台
2021-04-08,sh.601012,88.83,85.78,87.71,隆基绿能
2021-04-08,sh.688598,175.09,168.72,169.6,金博股份
2021-04-08,sz.002594,171.5,167.12,170.48,比亚迪
2021-04-08,sz.300316,34.11,33.55,33.74,晶盛机电
2021-04-09,sh.600036,50.72,49.86,50.25,招商银行
2021-04-09,sh.600389,21.85,21.85,21.85,江山股份
2021-04-09,sh.600519,2054.0,2005.01,2020.0,贵州茅台
2021-04-09,sh.601012,86.16,83.05,83.77,隆基绿能
2021-04-09,sh.688598,171.2,164.5,166.0,金博股份
2021-04-09,sz.002594,172.1,166.0,166.72,比亚迪
2021-04-09,sz.300316,34.08,32.89,32.92,晶盛机电
2021-04-12,sh.600036,50.65,49.69,50.46,招商银行
2021-04-12,sh.600389,21.85,21.85,21.85,江山股份
2021-04-12,sh.600519,2030.0,1991.7,2008.89,贵州茅台
2021-04-12,sh.601012,84.3,80.5,81.49,隆基绿能
2021-04-12,sh.688598,166.85,159.0,159.7,金博股份
2021-04-12,sz.002594,169.39,162.6,163.46,比亚迪
2021-04-12,sz.300316,33.29,31.05,31.35,晶盛机电
2021-04-13,sh.600036,51.2,49.94,50.32,招商银行
2021-04-13,sh.600389,23.0,20.65,20.68,江山股份
2021-04-13,sh.600519,2049.8,2009.0,2021.0,贵州茅台
2021-04-13,sh.601012,83.29,81.0,81.6,隆基绿能
2021-04-13,sh.688598,161.9,155.0,156.72,金博股份
2021-04-13,sz.002594,167.63,163.48,164.01,比亚迪
2021-04-13,sz.300316,31.63,30.87,31.19,晶盛机电
2021-04-14,sh.600036,50.6,49.28,49.7,招商银行
2021-04-14,sh.600389,22.75,20.08,22.75,江山股份
2021-04-14,sh.600519,2048.0,2016.0,2047.0,贵州茅台
2021-04-14,sh.601012,82.99,80.69,82.13,隆基绿能
2021-04-14,sh.688598,164.49,155.42,160.68,金博股份
2021-04-14,sz.002594,171.0,167.0,170.95,比亚迪
2021-04-14,sz.300316,31.94,31.07,31.7,晶盛机电
2021-04-15,sh.600036,49.98,48.28,49.44,招商银行
2021-04-15,sh.600389,23.65,22.1,23.26,江山股份
2021-04-15,sh.600519,2046.9,1990.0,2015.6,贵州茅台
2021-04-15,sh.601012,87.5,81.1,86.78,隆基绿能
2021-04-15,sh.688598,160.88,151.44,158.47,金博股份
2021-04-15,sz.002594,168.65,163.5,165.5,比亚迪
2021-04-15,sz.300316,32.41,31.42,32.18,晶盛机电
2021-04-16,sh.600036,49.85,49.09,49.74,招商银行
2021-04-16,sh.600389,25.0,22.98,24.4,江山股份
2021-04-16,sh.600519,2068.0,2012.0,2054.98,贵州茅台
2021-04-16,sh.601012,86.52,83.17,85.35,隆基绿能
2021-04-16,sh.688598,159.76,151.52,156.1,金博股份
2021-04-16,sz.002594,166.4,160.33,165.3,比亚迪
2021-04-16,sz.300316,33.59,32.03,33.44,晶盛机电
2021-04-19,sh.600036,51.78,49.5,51.77,招商银行
2021-04-19,sh.600389,24.46,23.6,23.7,江山股份
2021-04-19,sh.600519,2098.36,2033.0,2088.0,贵州茅台
2021-04-19,sh.601012,90.16,84.77,89.61,隆基绿能
2021-04-19,sh.688598,162.45,155.0,162.36,金博股份
2021-04-19,sz.002594,177.0,164.18,176.05,比亚迪
2021-04-19,sz.300316,34.96,33.19,34.83,晶盛机电
2021-04-20,sh.600036,52.19,51.01,51.99,招商银行
2021-04-20,sh.600389,25.0,23.48,24.88,江山股份
2021-04-20,sh.600519,2129.0,2070.0,2094.8,贵州茅台
2021-04-20,sh.601012,94.5,88.86,92.4,隆基绿能
2021-04-20,sh.688598,165.0,157.07,159.8,金博股份
2021-04-20,sz.002594,175.0,169.78,171.24,比亚迪
2021-04-20,sz.300316,36.03,34.41,35.4,晶盛机电
2021-04-21,sh.600036,53.19,52.03,52.89,招商银行
2021-04-21,sh.600389,25.5,24.24,24.72,江山股份
