证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
浦发银行,2023-03-31,15831000000.0,19519000000.0,600000,,48079000000.0,3.52,2.218,20.58,0.539347,40.598,
白云机场,2023-03-31,44726227.5,59254007.8,600004,1129210694.5,1359270870.5,0.106,0.26,7.2815,0.018898,4.359,16.93
东风汽车,2023-03-31,95633104.1,128045026.43,600006,2411838375.8,2637335684.59,-0.64,1.153,4.1459,0.047817,4.855,8.55
中国国贸,2023-03-31,319538175.0,423717631.0,600007,377458196.0,958439761.0,0.555,3.376,9.3966,0.317228,44.209,60.62
首创环保,2023-03-31,324264116.35,569793028.86,600008,2871125120.81,4342277478.7,-0.034,1.117,2.5916,0.044174,13.122,33.88
上海机场,2023-03-31,-99346473.86,-85317285.25,600009,2166229531.25,2154410996.61,-0.013,-0.252,15.8765,-0.039923,-3.96,-0.55
包钢股份,2023-03-31,290793962.3,226911318.55,600010,15373740496.1,17149729792.37,0.007,0.551,1.1584,0.006379,1.323,10.36
华能国际,2023-03-31,2250283365.0,3055482483.0,600011,58690863976.0,65269368192.0,0.391,1.764,3.0648,0.143348,4.681,10.08
皖通高速,2023-03-31,459462788.58,649180536.06,600012,423592695.39,1145086806.22,0.621,3.71,7.4673,0.277017,56.693,63.01
华夏银行,2023-03-31,5854000000.0,7832000000.0,600015,,23117000000.0,2.27,1.916,16.69,0.367831,33.88,
民生银行,2023-03-31,14232000000.0,16165000000.0,600016,,36773000000.0,5.16,2.313,11.89,0.325062,43.959,
日照港,2023-03-31,220338620.23,300689105.71,600017,1425469900.49,1923751677.14,0.167,1.595,4.4929,0.07164,15.63,25.9
上港集团,2023-03-31,3550868042.61,4264083397.86,600018,4466705705.72,7648688921.62,0.133,3.066,4.9746,0.152502,55.749,41.6
宝钢股份,2023-03-31,1844953987.3,2961491399.69,600019,74456195132.74,78602344010.88,-0.239,0.939,8.828,0.082874,3.768,5.27
中原高速,2023-03-31,385930863.71,424442135.28,600020,526314776.0,1203727869.81,0.261,2.758,4.7762,0.171725,35.261,56.28
上海电力,2023-03-31,335024763.55,1134724895.58,600021,8130314957.91,10342274669.9,0.468,1.55,5.8378,0.11894,10.972,21.39
山东钢铁,2023-03-31,-309344299.17,-294142472.13,600022,24022428106.56,24750493894.66,-0.166,-1.436,2.0135,-0.028914,-1.188,2.94
浙能电力,2023-03-31,1010519269.71,1229797118.36,600023,16887917348.92,17649256075.35,-0.096,1.61,4.6823,0.075363,6.968,4.31
华能水电,2023-03-31,803207576.83,1047807201.89,600025,1878365019.43,3731799144.16,0.151,1.174,3.0799,0.044623,28.078,49.67
中远海能,2023-03-31,1095888082.06,1548893249.8,600026,3917094281.79,5630759524.57,0.386,3.352,6.8533,0.229709,27.508,30.43
华电国际,2023-03-31,1134045000.0,1303734000.0,600027,30621505000.0,31978448000.0,0.247,1.776,3.7534,0.114623,4.077,4.24
中国石化,2023-03-31,20102000000.0,29404000000.0,600028,666004000000.0,791331000000.0,-0.153,2.491,6.7305,0.167661,3.716,15.84
南方航空,2023-03-31,-1898000000.0,-1467000000.0,600029,33294000000.0,34055000000.0,0.486,-4.847,2.161,-0.104741,-4.308,2.23
中信证券,2023-03-31,5417237420.11,7330539078.06,600030,,15348206851.13,-0.149,2.096,16.5106,0.365522,47.762,
三一重工,2023-03-31,1511612000.0,1736342000.0,600031,12877668000.0,17787615000.0,-0.185,2.275,7.8278,0.178117,9.762,27.6
浙江新能,2023-03-31,121028321.73,213672512.17,600032,522732455.96,1046055225.84,0.181,1.382,4.2104,0.058187,20.427,50.03
福建高速,2023-03-31,231551814.16,396252196.16,600033,275428788.82,711694057.95,0.111,2.106,4.0061,0.084372,55.677,61.3
楚天高速,2023-03-31,354342669.14,468485041.36,600035,279131443.2,763923990.38,0.293,4.516,4.8731,0.220073,61.326,63.46
招商银行,2023-03-31,38839000000.0,46892000000.0,600036,,90636000000.0,-0.5,3.959,34.13,1.540017,51.737,
歌华有线,2023-03-31,-58441297.59,-57980260.76,600037,465275059.11,524682052.93,0.063,-0.448,9.3709,-0.04199,-11.051,11.32
中直股份,2023-03-31,14293288.67,9590053.04,600038,2998620345.32,3226508712.36,3.313,0.146,16.566,0.024247,0.297,7.06
四川路桥,2023-03-31,2733375733.81,3271253561.55,600039,25912923396.19,30893467811.6,-1.326,6.118,7.1767,0.439067,10.589,16.12
保利发展,2023-03-31,2720901862.85,5320244471.7,600048,31217621592.86,39955547789.51,-1.183,1.374,15.8689,0.227302,13.315,21.87
中国联通,2023-03-31,2265797028.0,6459450604.0,600050,73489477191.0,97221822562.0,0.546,1.445,4.9299,0.071242,6.644,24.41
宁波联合,2023-03-31,11216057.02,6531243.68,600051,710388742.37,748898370.9,-0.688,0.343,10.5053,0.036078,0.872,5.14
东望时代,2023-03-31,-13382810.58,-18185173.09,600052,52380198.5,59985523.63,0.028,-0.461,3.4411,-0.015853,-30.316,12.68
九鼎投资,2023-03-31,-23117396.35,-23831410.78,600053,,12184614.36,-0.082,-0.798,6.6821,-0.053322,-195.586,
黄山旅游,2023-03-31,64575642.65,82609849.07,600054,176569149.53,337916364.49,0.18,1.555,5.6927,0.088535,24.447,47.75
万东医疗,2023-03-31,30438016.42,35458280.9,600055,153029688.38,255084691.08,-0.064,0.657,6.5938,0.043294,13.901,40.01
中国医药,2023-03-31,268770140.93,406844907.96,600056,11297491990.29,12530663199.18,-0.997,2.425,7.4103,0.179674,3.247,9.84
厦门象屿,2023-03-31,546358768.55,807442413.32,600057,126409791032.38,129150204083.95,-11.4,3.146,6.7894,0.24135,0.625,2.12
五矿发展,2023-03-31,32472177.57,75300063.99,600058,16792357653.46,17291619763.43,-2.393,0.556,4.5193,0.030294,0.435,2.89
古越龙山,2023-03-31,58862647.77,79311084.67,600059,324679548.47,512208575.09,-0.095,1.06,6.091,0.064575,15.484,36.61
海信视像,2023-03-31,620696108.85,781175799.8,600060,9396519447.93,11483183305.77,1.436,3.411,13.9148,0.474665,6.803,18.17
国投资本,2023-03-31,865632980.79,1277525973.68,600061,450693822.87,461728058.08,4.019,1.659,7.6305,0.134722,276.684,2.39
华润双鹤,2023-03-31,372438512.01,459342847.67,600062,1216971264.64,2738700207.28,0.112,3.578,9.9781,0.357031,16.772,55.56
皖维高新,2023-03-31,129999395.55,133343274.35,600063,1910409689.43,2214893901.96,0.032,1.641,3.669,0.060206,6.02,13.75
