证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
平安银行,2023-03-31,14602000000.0,18369000000.0,000001,,45098000000.0,5.62,3.269,19.42,0.752451,40.731,
万  科Ａ,2023-03-31,1445811341.87,4091132174.69,000002,57896604145.98,68474007399.21,0.587,0.588,20.6201,0.121184,5.975,15.45
ST国华,2023-03-31,-7427185.74,-9124028.91,000004,8317123.75,21255770.69,-0.225,-2.152,2.5975,-0.055907,-42.925,60.87
ST星源,2023-03-31,-2802012.83,-4017478.66,000005,26585819.92,28171813.23,-0.04,-0.232,1.1429,-0.002647,-14.261,5.63
深振业Ａ,2023-03-31,-12085882.25,-19456245.22,000006,165850923.64,265640113.06,-0.479,-0.153,5.8443,-0.008953,-7.324,37.57
全新好,2023-03-31,-232199.04,2342693.65,000007,38680746.7,49531240.17,0.115,-0.257,0.2606,-0.00067,4.73,21.91
神州高铁,2023-03-31,-32949016.59,-21699672.34,000008,272781958.38,431343230.64,-0.038,-0.758,1.5996,-0.01213,-5.031,36.76
中国宝安,2023-03-31,239346190.45,622945981.95,000009,6703674818.06,8228499170.23,0.67,2.536,3.6587,0.092798,7.571,18.53
美丽生态,2023-03-31,-27469373.14,-34983263.95,000010,115219824.83,123962806.8,0.005,-4.05,0.6406,-0.025947,-28.221,7.05
深物业A,2023-03-31,13216750.95,13624175.58,000011,310287854.2,411469619.15,-0.703,0.299,7.4277,0.022177,3.311,24.59
南  玻Ａ,2023-03-31,396406087.0,451521394.0,000012,3165542052.0,4070673784.0,-0.093,2.992,4.3148,0.129093,11.092,22.24
沙河股份,2023-03-31,161573954.98,215453016.67,000014,127693633.09,389370140.21,1.675,12.165,5.4875,0.667533,55.334,67.21
深康佳Ａ,2023-03-31,152513923.41,175260914.31,000016,4451814449.75,4600647851.61,-0.491,1.961,3.2295,0.063338,3.809,3.24
深中华A,2023-03-31,2848657.72,4685648.5,000017,143175923.57,151527917.92,-0.011,0.972,0.4251,0.004133,3.092,5.51
深粮控股,2023-03-31,105444874.99,111291383.32,000019,1090959346.71,1338942951.54,-0.162,2.166,4.2242,0.09149,8.312,18.52
深华发Ａ,2023-03-31,6432411.78,7911166.0,000020,151537827.75,175868641.87,0.119,1.787,1.2714,0.022716,4.498,13.83
深科技,2023-03-31,101012991.01,149064432.61,000021,3511012486.14,3933775539.21,0.328,0.971,6.6648,0.064728,3.789,10.75
深天地Ａ,2023-03-31,-18652947.49,-21783564.44,000023,43909384.37,42802914.93,-0.019,-15.366,0.8748,-0.13443,-50.893,-2.59
特  力Ａ,2023-03-31,25274084.85,31035039.61,000025,291971030.63,339838493.18,-0.101,1.651,3.5515,0.058633,9.132,14.09
